2025-04-05 16:00:59 - INFO - Logging initialized
2025-04-05 16:00:59 - INFO - Starting CNRD bootstrap process
2025-04-05 16:00:59 - INFO - Game starting up
2025-04-05 16:00:59 - INFO - Successfully loaded data from config\daemons.json
2025-04-05 16:00:59 - WARNING - Invalid daemon configuration: virulet: Required property 'type' is missing
2025-04-05 16:00:59 - WARNING - Validation failed for config\daemons.json, falling back to default data
2025-04-05 16:00:59 - INFO - Successfully loaded data from config\programs.json
2025-04-05 16:00:59 - INFO - Successfully loaded data from config\locations.json
2025-04-05 16:00:59 - INFO - Game data loaded successfully
2025-04-05 16:00:59 - INFO - Game initialized with data from config files and Location objects created.
2025-04-05 16:00:59 - INFO - Game loaded successfully from saves\karl.json
2025-04-05 16:00:59 - WARNING - Loaded daemon 'virulet' using legacy 'daemon_type'. Converted to types: ['VIRUS']
2025-04-05 16:00:59 - WARNING - Loaded daemon 'virulet' using legacy 'daemon_type'. Converted to types: ['VIRUS']
2025-04-05 16:00:59 - INFO - Loaded player: karl
2025-04-05 16:00:59 - WARNING - Loaded player location 'home' invalid. Resetting.
2025-04-05 16:01:01 - INFO - Player moved east to Slum Hideout
2025-04-05 16:01:01 - INFO - Player moved west to Dark Alley
2025-04-05 16:01:01 - INFO - Player moved north to Market Square
2025-04-05 16:01:01 - INFO - Player moved east to Dataport Hub
2025-04-05 16:01:01 - INFO - Player moved north to Corporate Plaza
2025-04-05 16:01:01 - INFO - Player moved west to Research Wing
2025-04-05 16:01:03 - INFO - Player moved east to Corporate Plaza
2025-04-05 16:01:04 - INFO - Player moved east to Executive Elevator
2025-04-05 16:01:06 - INFO - Player moved west to Corporate Plaza
2025-04-05 16:01:07 - INFO - Player moved west to Research Wing
2025-04-05 16:01:08 - INFO - Player moved east to Corporate Plaza
2025-04-05 16:01:08 - INFO - Player moved south to Uptown Plaza
2025-04-05 16:01:08 - INFO - Player moved north to Corporate Plaza
2025-04-05 16:01:08 - INFO - Player moved west to Research Wing
2025-04-05 16:01:08 - INFO - Player moved east to Corporate Plaza
2025-04-05 16:01:08 - INFO - Player moved west to Research Wing
2025-04-05 16:01:08 - INFO - Player moved east to Corporate Plaza
2025-04-05 16:01:08 - ERROR - Unknown daemon ID: security_byte
2025-04-05 16:01:08 - ERROR - Failed to create wild daemon 'security_byte'
2025-04-05 16:01:08 - INFO - Player moved west to Research Wing
2025-04-05 16:01:08 - ERROR - Unknown daemon ID: glitch_anomaly
2025-04-05 16:01:08 - ERROR - Failed to create wild daemon 'glitch_anomaly'
2025-04-05 16:01:09 - INFO - Player moved east to Corporate Plaza
2025-04-05 16:01:09 - INFO - Player moved west to Research Wing
2025-04-05 16:01:09 - INFO - Player moved east to Corporate Plaza
2025-04-05 16:01:10 - INFO - Player moved east to Executive Elevator
2025-04-05 16:01:11 - INFO - Player moved west to Corporate Plaza
2025-04-05 16:01:11 - INFO - Player moved east to Executive Elevator
2025-04-05 16:01:11 - INFO - Player moved west to Corporate Plaza
2025-04-05 16:01:11 - INFO - Player moved east to Executive Elevator
2025-04-05 16:01:13 - INFO - Player moved west to Corporate Plaza
2025-04-05 16:01:13 - INFO - Player moved south to Uptown Plaza
2025-04-05 16:02:05 - INFO - Game shutting down
